id,formattedAddress,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,daysOnMarket,listingWebsite
"814-Nw-54th-St,-Unit-B,-Seattle,-WA-98107","814 Nw 54th St, Unit B, Seattle, WA 98107",Seattle,WA,98107,47.668224,-122.367003,Single Family,2,2,1020,,Active,3100,Standard,2025-11-22T00:00:00.000Z,1,
"1420-E-Howell-St,-Unit-209,-Seattle,-WA-98122","1420 E Howell St, Unit 209, Seattle, WA 98122",Seattle,WA,98122,47.617779,-122.31324,Apartment,0,1,272,,Active,1295,Standard,2025-11-22T00:00:00.000Z,1,
"511-Ne-73rd-St,-Unit-A,-Seattle,-WA-98115","511 Ne 73rd St, Unit A, Seattle, WA 98115",Seattle,WA,98115,47.681479,-122.322345,Single Family,2,2,1381,,Active,4199,Standard,2025-11-22T00:00:00.000Z,1,
"5019-Ravenna-Ave-NE,-Seattle,-WA-98105","5019 Ravenna Ave NE, Seattle, WA 98105",Seattle,WA,98105,47.665485,-122.303841,Single Family,6,3,1441,,Active,4788,Standard,2025-11-22T00:00:00.000Z,1,
"400-10th-Ave,-Apt-211,-Seattle,-WA-98122","400 10th Ave, Apt 211, Seattle, WA 98122",Seattle,WA,98122,47.605461,-122.319008,Single Family,1,1,510,,Active,1425,Standard,2025-11-22T00:00:00.000Z,1,
"2611-Eastlake-Ave-E,-Seattle,-WA-98102","2611 Eastlake Ave E, Seattle, WA 98102",Seattle,WA,98102,47.643623,-122.326263,Apartment,2,2,983,,Active,2995,Standard,2025-11-22T00:00:00.000Z,1,
"6311-6321-Roosevelt-Way-NE,-Seattle,-WA-98115","6311-6321 Roosevelt Way NE, Seattle, WA 98115",Seattle,WA,98115,47.674835,-122.317657,Apartment,2,1,1455,,Active,2495,Standard,2025-11-22T00:00:00.000Z,1,
"10521-Midvale-Ave-N,-Apt-102,-Seattle,-WA-98133","10521 Midvale Ave N, Apt 102, Seattle, WA 98133",Seattle,WA,98133,47.705673,-122.343796,Single Family,2,1,900,,Active,1600,Standard,2025-11-22T00:00:00.000Z,1,
"2050-Nw-59th-St,-Seattle,-WA-98107","2050 Nw 59th St, Seattle, WA 98107",Seattle,WA,98107,47.671837,-122.3843,Apartment,1,1,650,,Active,1550,Standard,2025-11-22T00:00:00.000Z,1,
"12033-1st-Ave-S,-Seattle,-WA-98168","12033 1st Ave S, Seattle, WA 98168",Seattle,WA,98168,47.495033,-122.334435,Apartment,2,1,883,,Active,1995,Standard,2025-11-22T00:00:00.000Z,1,
"4209-30th-Ave-SW,-Apt-301,-Seattle,-WA-98126","4209 30th Ave SW, Apt 301, Seattle, WA 98126",Seattle,WA,98126,47.56575,-122.371086,Condo,1,1,550,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1,
"700-E-Denny-Way,-Unit-208,-Seattle,-WA-98122","700 E Denny Way, Unit 208, Seattle, WA 98122",Seattle,WA,98122,47.618893,-122.323152,Condo,1,1.5,885,,Active,2500,Standard,2025-11-22T00:00:00.000Z,1,
"2405-Nw-65th-St,-Apt-305,-Seattle,-WA-98117","2405 Nw 65th St, Apt 305, Seattle, WA 98117",Seattle,WA,98117,47.675762,-122.388115,Single Family,2,2,900,,Active,2350,Standard,2025-11-22T00:00:00.000Z,1,
"303-N-44th-St,-Apt-304,-Seattle,-WA-98103","303 N 44th St, Apt 304, Seattle, WA 98103",Seattle,WA,98103,47.660038,-122.355111,Condo,1,1,660,,Active,2495,Standard,2025-11-22T00:00:00.000Z,1,
